State,Latitude,Longitude,Electric Vehicle Registrations by State,Electric Vehicle Charging stations by State,Electric Vehicle Charging outlests by State,Supercharing stalls open,Gross domestic product (GDP),Disposable personal income,pupulation/area,number of Laws and Incentives,Car Sales Tax by State,Car Dealer Doc Fee by State,Car Registrate Fee by State,EV Purchase Tax Credit Maximum,Additional EV Annual Registration Fee Maximum,Monthly insurance cost by States,Difference of insurance costs from non-EVs,Average Price of Residential Electricity(Cents per Kilowatthour in Jul 23),Unleaded Price in October 2023,Average savings per fill up for Sedan,"Median Age
  (years)","in married-couple percentage
  family household","not in married percentage
 couple household",never married percentage,married percentage,"divorced or percentage
 separated",widowed percentage,"average family percentage
  size","less than high percentage
 school graduate","high school percentage
 graduate","some college or percentage
 associate's degree","bachelor's percentage
 degree","graduate or 
 professional 
 degree percentage",mean household income,"median household
  income","average number 
 of workers per 
 household","average household 
 size of 
 owner-occupied 
 unit","average household 
 size of 
 renter-occupied 
 unit"
Alabama,32.806671,-86.79113,13000,424,1096,64,304935.6,250036.2,97.45,13,0.02,485,23,0,200,195,33,14.43,3.28,25,39.6,0.57,0.41,0.32,0.48,0.14,0.07,3.02,0.11,0.3,0.3,0.18,0.11,88203,62212,1.1,2.52,2.19
Alaska,61.370716,-152.404419,2700,65,124,,68056,48363,1.1,8,0,200,100,1000,0,162,39,24.88,4.63,37,35.3,0.59,0.37,0.34,0.49,0.13,0.04,3.28,0.07,0.29,0.34,0.19,0.12,106216,86370,1.26,2.77,2.47
Arizona,33.729759,-111.431221,89800,1198,3506,304,522767.2,418331.6,65.19,27,0.06,410,9.5,0,0,182,34,14.12,4.59,39,39.3,0.58,0.4,0.34,0.48,0.13,0.05,3.09,0.11,0.23,0.33,0.2,0.13,107562,77315,1.18,2.57,2.34
Arkansas,34.969704,-92.373123,7100,334,833,16,178606.4,160388.2,57.69,11,0.07,110,17,0,200,223,55,12.51,3.33,28,38.9,0.57,0.4,0.31,0.49,0.14,0.07,3.01,0.11,0.34,0.29,0.17,0.1,85132,58700,1.09,2.52,2.21
California,36.116203,-119.681564,1256600,16381,49433,1381,3870379,2694042,238.04,140,0.07,85,46,7500,108,217,46,29.38,5.93,43,38.2,0.59,0.39,0.38,0.46,0.11,0.05,3.36,0.15,0.2,0.27,0.23,0.15,135931,95521,1.35,2.9,2.62
Colorado,39.059811,-105.311104,90100,2165,5432,80,529626.5,412483.8,56.46,52,0.03,490,,5000,51.88,210,46,14.16,3.83,36,37.9,0.6,0.38,0.33,0.51,0.12,0.04,2.96,0.07,0.19,0.28,0.28,0.18,124129,92911,1.28,2.51,2.1
Connecticut,41.597782,-72.755371,31600,865,2547,44,345911.9,275316.9,652.57,40,0.06,415,80,7500,0,224,62,26.63,3.77,25,41.5,0.58,0.39,0.36,0.47,0.12,0.05,3.03,0.08,0.26,0.23,0.23,0.2,133097,91665,1.26,2.61,2.11
Delaware,39.318523,-75.507141,8400,197,523,60,98068.7,60661.6,414.58,18,0,292,40,2500,0,219,39,15.1,3.29,31,42,0.58,0.4,0.33,0.49,0.12,0.06,3.01,0.09,0.29,0.27,0.21,0.16,108060,81361,1.2,2.53,2.21
District of Columbia,38.897438,-77.026817,8100,369,1158,16,176501.7,60794,9984.88,,,,,,,224,62,16.55,,35,34.9,0.37,0.58,0.54,0.32,0.1,0.04,2.88,0.07,0.13,0.14,0.27,0.39,170985,108210,1.11,2.21,1.73
Florida,27.766279,-81.686783,254900,3430,9763,310,1600811,1378616,343.85,26,0.06,995,225,0,0,313,78,14.97,3.52,29,42.8,0.57,0.41,0.31,0.48,0.14,0.06,3.03,0.1,0.27,0.29,0.22,0.13,104490,73311,1.18,2.51,2.38
Georgia,33.040619,-83.643074,92400,1886,4994,212,831827.7,583228.4,185.6,18,0.07,545,20,0,213.7,181,24,14.35,3.2,28,37.9,0.57,0.41,0.35,0.47,0.13,0.05,3.21,0.11,0.26,0.28,0.21,0.14,105623,74632,1.26,2.71,2.37
Hawaii,21.094318,-157.498337,25600,384,860,,110265.4,83644.1,131.28,20,0.04,250,45,0,50,121,21,39.98,4.87,26,41.4,0.61,0.37,0.34,0.5,0.1,0.06,3.38,0.07,0.26,0.3,0.23,0.14,119154,95322,1.37,2.98,2.57
Idaho,44.240459,-114.478828,8500,205,517,8,120958.3,104074.6,23.51,5,0.06,265,69,0,140,122,19,11.82,4.11,43,37.8,0.67,0.31,0.28,0.55,0.12,0.05,3.11,0.08,0.26,0.34,0.22,0.11,97271,74942,1.24,2.71,2.36
Illinois,40.349457,-88.986137,99600,1337,3510,152,1098346,790852.6,216.7,27,0.06,303,101,4000,100,158,32,14.93,3.75,37,39.5,0.58,0.4,0.36,0.47,0.11,0.06,3.09,0.09,0.25,0.27,0.23,0.16,114968,80306,1.22,2.59,2.08
Indiana,39.849426,-86.258278,26100,565,1533,95,499503.1,375480.4,188.42,24,0.07,150,36.35,0,150,147,28,14.48,3.52,29,38.3,0.59,0.39,0.33,0.49,0.13,0.06,3.04,0.1,0.32,0.28,0.19,0.11,94673,69477,1.2,2.57,2.09
Iowa,42.011539,-93.210526,9000,371,855,20,254032,181363.8,56.99,15,0.05,135,,0,130,145,32,15.07,3.51,31,39.1,0.6,0.37,0.31,0.52,0.12,0.06,2.93,0.07,0.3,0.32,0.21,0.11,94207,71433,1.2,2.46,1.97
Kansas,38.5266,-96.726486,11300,547,1196,32,228232.4,173793.6,35.74,7,0.08,399,30,2400,70,203,45,13.7,3.56,28,37.9,0.61,0.36,0.31,0.51,0.12,0.06,3,0.08,0.25,0.31,0.22,0.13,93976,70333,1.23,2.57,2.07
