state,year,Electric Vehicle Registrations by State ,Electric Vehicle Charging stations by State,Electric Vehicle Charging outlests by State,latitude,longitude
Alabama,"2,023",13000,424,1096,32.806671,-86.79113
Alaska,"2,023",2700,65,124,61.370716,-152.404419
Arizona,"2,023",89800,1198,3506,33.729759,-111.431221
Arkansas,"2,023",7100,334,833,34.969704,-92.373123
California,"2,023",1256600,16381,49433,36.116203,-119.681564
Colorado,"2,023",90100,2165,5432,39.059811,-105.311104
Connecticut,"2,023",31600,865,2547,41.597782,-72.755371
Delaware,"2,023",8400,197,523,39.318523,-75.507141
District of Columbia,"2,023",8100,369,1158,38.897438,-77.026817
Florida,"2,023",254900,3430,9763,27.766279,-81.686783
Georgia,"2,023",92400,1886,4994,33.040619,-83.643074
Hawaii,"2,023",25600,384,860,21.094318,-157.498337
Idaho,"2,023",8500,205,517,44.240459,-114.478828
Illinois,"2,023",99600,1337,3510,40.349457,-88.986137
Indiana,"2,023",26100,565,1533,39.849426,-86.258278
Iowa,"2,023",9000,371,855,42.011539,-93.210526
Kansas,"2,023",11300,547,1196,38.5266,-96.726486
Kentucky,"2,023",11600,328,849,37.66814,-84.670067
Louisiana,"2,023",8200,265,709,31.169546,-91.867805
Maine,"2,023",7400,486,1084,44.693947,-69.381927
Maryland,"2,023",72100,1726,5022,39.063946,-76.802101
Massachusetts,"2,023",73800,2965,7032,42.230171,-71.530106
Michigan,"2,023",50300,1447,3352,43.326618,-84.536095
Minnesota,"2,023",37100,773,1995,45.694454,-93.900192
Mississippi,"2,023",3600,163,551,32.741646,-89.678696
Missouri,"2,023",26900,1240,2703,38.456085,-92.288368
Montana,"2,023",4600,126,347,46.921925,-110.454353
Nebraska,"2,023",6900,260,554,41.12537,-98.268082
Nevada,"2,023",47400,596,1987,38.313515,-117.055374
New Hampshire,"2,023",9900,261,597,43.452492,-71.563896
New Jersey,"2,023",134800,1299,3723,40.298904,-74.521011
New Mexico,"2,023",10300,278,695,34.840515,-106.248482
New York,"2,023",131300,3898,11114,42.165726,-74.948051
North Carolina,"2,023",70200,1595,4204,35.630066,-79.806419
North Dakota,"2,023",1000,98,209,47.528912,-99.784012
Ohio,"2,023",50400,1586,3653,40.388783,-82.764915
Oklahoma,"2,023",22800,358,1363,35.565342,-96.928917
Oregon,"2,023",64400,1263,3190,44.572021,-122.070938
Pennsylvania,"2,023",70200,1712,4293,40.590752,-77.209755
Rhode Island,"2,023",6400,317,817,41.680893,-71.51178
South Carolina,"2,023",20900,559,1374,33.856892,-80.945007
South Dakota,"2,023",1700,98,232,44.299782,-99.438828
Tennessee,"2,023",33200,918,2225,35.747845,-86.692345
Texas,"2,023",230100,3104,8637,31.054487,-97.563461
Utah,"2,023",40000,893,2185,40.150032,-111.862434
Vermont,"2,023",7800,381,978,44.045876,-72.710686
Virginia,"2,023",84900,1562,4565,37.769337,-78.169968
Washington,"2,023",152100,2202,5817,47.400902,-121.490494
West Virginia,"2,023",2800,155,446,38.491226,-80.954453
Wisconsin,"2,023",24900,577,1398,44.268543,-89.616508
Wyoming,"2,023",1100,103,252,42.755966,-107.30249
Alabama,"2,022",8700,327,851,32.806671,-86.79113
Alaska,"2,022",2000,61,113,61.370716,-152.404419
Arizona,"2,022",65800,984,2661,33.729759,-111.431221
Arkansas,"2,022",5100,218,590,34.969704,-92.373123
California,"2,022",903600,14609,43589,36.116203,-119.681564
Colorado,"2,022",59900,1787,4408,39.059811,-105.311104
Connecticut,"2,022",22000,598,1643,41.597782,-72.755371
Delaware,"2,022",5400,156,367,39.318523,-75.507141
District of Columbia,"2,022",5900,301,972,38.897438,-77.026817
Florida,"2,022",168000,2923,7818,27.766279,-81.686783
Georgia,"2,022",60100,1552,4131,33.040619,-83.643074
Hawaii,"2,022",19800,405,938,21.094318,-157.498337
Idaho,"2,022",5900,155,382,44.240459,-114.478828
Illinois,"2,022",66900,1342,3351,40.349457,-88.986137
Indiana,"2,022",17700,404,1093,39.849426,-86.258278
Iowa,"2,022",6200,305,659,42.011539,-93.210526
Kansas,"2,022",7600,489,1045,38.5266,-96.726486
Kentucky,"2,022",7600,256,629,37.66814,-84.670067
Louisiana,"2,022",5900,193,475,31.169546,-91.867805
Maine,"2,022",5000,412,869,44.693947,-69.381927
Maryland,"2,022",46100,1384,3964,39.063946,-76.802101
Massachusetts,"2,022",49400,2406,5748,42.230171,-71.530106
Michigan,"2,022",33100,1149,2703,43.326618,-84.536095
Minnesota,"2,022",24300,601,1533,45.694454,-93.900192
Mississippi,"2,022",2400,114,440,32.741646,-89.678696
Missouri,"2,022",17900,1029,2216,38.456085,-92.288368
Montana,"2,022",3300,98,253,46.921925,-110.454353
Nebraska,"2,022",4600,214,446,41.12537,-98.268082
Nevada,"2,022",32900,478,1670,38.313515,-117.055374
New Hampshire,"2,022",7000,201,466,43.452492,-71.563896
New Jersey,"2,022",87000,938,2713,40.298904,-74.521011
New Mexico,"2,022",7100,211,528,34.840515,-106.248482
New York,"2,022",84700,3326,9535,42.165726,-74.948051
North Carolina,"2,022",45600,1166,3040,35.630066,-79.806419
North Dakota,"2,022",600,80,172,47.528912,-99.784012
Ohio,"2,022",34100,1247,2818,40.388783,-82.764915
Oklahoma,"2,022",16300,340,1093,35.565342,-96.928917
Oregon,"2,022",47000,1009,2475,44.572021,-122.070938
Pennsylvania,"2,022",47400,1326,3251,40.590752,-77.209755
Rhode Island,"2,022",4300,297,783,41.680893,-71.51178
South Carolina,"2,022",13500,413,978,33.856892,-80.945007
South Dakota,"2,022",1200,69,176,44.299782,-99.438828
Tennessee,"2,022",22000,695,1683,35.747845,-86.692345
Texas,"2,022",149000,2471,6332,31.054487,-97.563461
Utah,"2,022",28000,780,1853,40.150032,-111.862434
Vermont,"2,022",5300,351,898,44.045876,-72.710686
Virginia,"2,022",56600,1221,3643,37.769337,-78.169968
Washington,"2,022",104100,1784,4533,47.400902,-121.490494
West Virginia,"2,022",1900,137,385,38.491226,-80.954453
Wisconsin,"2,022",15700,470,1101,44.268543,-89.616508
Wyoming,"2,022",800,86,214,42.755966,-107.30249
Alabama,"2,021",4700,277,682,32.806671,-86.79113
Alaska,"2,021",1300,52,94,61.370716,-152.404419
Arizona,"2,021",40700,890,2259,33.729759,-111.431221
Arkansas,"2,021",2400,164,463,34.969704,-92.373123
California,"2,021",563100,14607,41237,36.116203,-119.681564
Colorado,"2,021",37000,1619,3992,39.059811,-105.311104
Connecticut,"2,021",13300,533,1430,41.597782,-72.755371
Delaware,"2,021",3000,134,314,39.318523,-75.507141
District of Columbia,"2,021",3700,291,826,38.897438,-77.026817
Florida,"2,021",95600,2636,6748,27.766279,-81.686783
Georgia,"2,021",34000,1585,3947,33.040619,-83.643074
Hawaii,"2,021",14200,386,839,21.094318,-157.498337
Idaho,"2,021",3500,139,345,44.240459,-114.478828
Illinois,"2,021",36500,1079,2764,40.349457,-88.986137
Indiana,"2,021",10400,357,971,39.849426,-86.258278
Iowa,"2,021",3700,281,584,42.011539,-93.210526
Kansas,"2,021",4500,493,1017,38.5266,-96.726486
Kentucky,"2,021",4200,225,532,37.66814,-84.670067
Louisiana,"2,021",3200,159,385,31.169546,-91.867805
Maine,"2,021",3000,301,639,44.693947,-69.381927
Maryland,"2,021",25600,1257,3430,39.063946,-76.802101
Massachusetts,"2,021",30500,2176,4871,42.230171,-71.530106
Michigan,"2,021",17500,817,1799,43.326618,-84.536095
Minnesota,"2,021",15000,586,1385,45.694454,-93.900192
Mississippi,"2,021",1300,112,433,32.741646,-89.678696
Missouri,"2,021",10000,1047,2188,38.456085,-92.288368
Montana,"2,021",1600,75,212,46.921925,-110.454353
Nebraska,"2,021",2700,182,377,41.12537,-98.268082
Nevada,"2,021",17400,451,1361,38.313515,-117.055374
New Hampshire,"2,021",4000,164,357,43.452492,-71.563896
New Jersey,"2,021",47800,749,2021,40.298904,-74.521011
New Mexico,"2,021",4200,189,461,34.840515,-106.248482
New York,"2,021",51900,2983,7646,42.165726,-74.948051
North Carolina,"2,021",25200,1120,2789,35.630066,-79.806419
North Dakota,"2,021",400,61,139,47.528912,-99.784012
Ohio,"2,021",21200,957,2224,40.388783,-82.764915
Oklahoma,"2,021",7100,313,1089,35.565342,-96.928917
Oregon,"2,021",30300,994,2433,44.572021,-122.070938
Pennsylvania,"2,021",26800,1148,2688,40.590752,-77.209755
Rhode Island,"2,021",2500,255,628,41.680893,-71.51178
South Carolina,"2,021",7400,385,870,33.856892,-80.945007
South Dakota,"2,021",700,58,160,44.299782,-99.438828
Tennessee,"2,021",12200,685,1637,35.747845,-86.692345
Texas,"2,021",80900,2320,5501,31.054487,-97.563461
Utah,"2,021",16500,909,1980,40.150032,-111.862434
Vermont,"2,021",3400,329,878,44.045876,-72.710686
Virginia,"2,021",30700,1139,3302,37.769337,-78.169968
Washington,"2,021",66800,1773,4325,47.400902,-121.490494
