state,year,Electric Vehicle Registrations by State ,Electric Vehicle Charging stations by State,Electric Vehicle Charging outlests by State,latitude,longitude
Alabama,"2,023",13000,424,1096,63.58875,-154.493
Alaska,"2,023",2700,65,124,32.31823,-86.9023
Arizona,"2,023",89800,1198,3506,35.20105,-91.8318
Arkansas,"2,023",7100,334,833,34.04893,-111.094
California,"2,023",1256600,16381,49433,36.77826,-119.418
Colorado,"2,023",90100,2165,5432,39.55005,-105.782
Connecticut,"2,023",31600,865,2547,41.60322,-73.0877
Delaware,"2,023",8400,197,523,38.90599,-77.0334
District of Columbia,"2,023",8100,369,1158,38.91083,-75.5277
Florida,"2,023",254900,3430,9763,27.66483,-81.5158
Georgia,"2,023",92400,1886,4994,32.15744,-82.9071
Hawaii,"2,023",25600,384,860,19.89868,-155.666
Idaho,"2,023",8500,205,517,41.878,-93.0977
Illinois,"2,023",99600,1337,3510,44.0682,-114.742
Indiana,"2,023",26100,565,1533,40.63313,-89.3985
Iowa,"2,023",9000,371,855,40.55122,-85.6024
Kansas,"2,023",11300,547,1196,39.0119,-98.4842
Kentucky,"2,023",11600,328,849,37.83933,-84.27
Louisiana,"2,023",8200,265,709,31.24482,-92.145
Maine,"2,023",7400,486,1084,42.40721,-71.3824
Maryland,"2,023",72100,1726,5022,39.04576,-76.6413
Massachusetts,"2,023",73800,2965,7032,45.25378,-69.4455
Michigan,"2,023",50300,1447,3352,44.31484,-85.6024
Minnesota,"2,023",37100,773,1995,46.72955,-94.6859
Mississippi,"2,023",3600,163,551,37.96425,-91.8318
Missouri,"2,023",26900,1240,2703,32.35467,-89.3985
Montana,"2,023",4600,126,347,46.87968,-110.363
Nebraska,"2,023",6900,260,554,35.75957,-79.0193
Nevada,"2,023",47400,596,1987,47.55149,-101.002
New Hampshire,"2,023",9900,261,597,41.49254,-99.9018
New Jersey,"2,023",134800,1299,3723,43.19385,-71.5724
New Mexico,"2,023",10300,278,695,40.05832,-74.4057
New York,"2,023",131300,3898,11114,34.97273,-105.032
North Carolina,"2,023",70200,1595,4204,38.80261,-116.419
North Dakota,"2,023",1000,98,209,43.29943,-74.2179
Ohio,"2,023",50400,1586,3653,40.41729,-82.9071
Oklahoma,"2,023",22800,358,1363,35.00775,-97.0929
Oregon,"2,023",64400,1263,3190,43.80413,-120.554
Pennsylvania,"2,023",70200,1712,4293,41.20332,-77.1945
Rhode Island,"2,023",6400,317,817,41.5801,-71.4774
South Carolina,"2,023",20900,559,1374,33.83608,-81.1637
South Dakota,"2,023",1700,98,232,43.96952,-99.9018
Tennessee,"2,023",33200,918,2225,35.51749,-86.5804
Texas,"2,023",230100,3104,8637,31.9686,-99.9018
Utah,"2,023",40000,893,2185,39.32098,-111.094
Vermont,"2,023",7800,381,978,37.43157,-78.6569
Virginia,"2,023",84900,1562,4565,44.5588,-72.5778
Washington,"2,023",152100,2202,5817,47.75107,-120.74
West Virginia,"2,023",2800,155,446,43.78444,-88.7879
Wisconsin,"2,023",24900,577,1398,38.59763,-80.4549
Wyoming,"2,023",1100,103,252,43.07597,-107.29
Alabama,"2,022",8700,327,851,63.58875,-154.493
Alaska,"2,022",2000,61,113,32.31823,-86.9023
Arizona,"2,022",65800,984,2661,35.20105,-91.8318
Arkansas,"2,022",5100,218,590,34.04893,-111.094
California,"2,022",903600,14609,43589,36.77826,-119.418
Colorado,"2,022",59900,1787,4408,39.55005,-105.782
Connecticut,"2,022",22000,598,1643,41.60322,-73.0877
Delaware,"2,022",5400,156,367,38.90599,-77.0334
District of Columbia,"2,022",5900,301,972,38.91083,-75.5277
Florida,"2,022",168000,2923,7818,27.66483,-81.5158
Georgia,"2,022",60100,1552,4131,32.15744,-82.9071
Hawaii,"2,022",19800,405,938,19.89868,-155.666
Idaho,"2,022",5900,155,382,41.878,-93.0977
Illinois,"2,022",66900,1342,3351,44.0682,-114.742
Indiana,"2,022",17700,404,1093,40.63313,-89.3985
Iowa,"2,022",6200,305,659,40.55122,-85.6024
Kansas,"2,022",7600,489,1045,39.0119,-98.4842
Kentucky,"2,022",7600,256,629,37.83933,-84.27
Louisiana,"2,022",5900,193,475,31.24482,-92.145
Maine,"2,022",5000,412,869,42.40721,-71.3824
Maryland,"2,022",46100,1384,3964,39.04576,-76.6413
Massachusetts,"2,022",49400,2406,5748,45.25378,-69.4455
Michigan,"2,022",33100,1149,2703,44.31484,-85.6024
Minnesota,"2,022",24300,601,1533,46.72955,-94.6859
Mississippi,"2,022",2400,114,440,37.96425,-91.8318
Missouri,"2,022",17900,1029,2216,32.35467,-89.3985
Montana,"2,022",3300,98,253,46.87968,-110.363
Nebraska,"2,022",4600,214,446,35.75957,-79.0193
Nevada,"2,022",32900,478,1670,47.55149,-101.002
New Hampshire,"2,022",7000,201,466,41.49254,-99.9018
New Jersey,"2,022",87000,938,2713,43.19385,-71.5724
New Mexico,"2,022",7100,211,528,40.05832,-74.4057
New York,"2,022",84700,3326,9535,34.97273,-105.032
North Carolina,"2,022",45600,1166,3040,38.80261,-116.419
North Dakota,"2,022",600,80,172,43.29943,-74.2179
Ohio,"2,022",34100,1247,2818,40.41729,-82.9071
Oklahoma,"2,022",16300,340,1093,35.00775,-97.0929
Oregon,"2,022",47000,1009,2475,43.80413,-120.554
Pennsylvania,"2,022",47400,1326,3251,41.20332,-77.1945
Rhode Island,"2,022",4300,297,783,41.5801,-71.4774
South Carolina,"2,022",13500,413,978,33.83608,-81.1637
South Dakota,"2,022",1200,69,176,43.96952,-99.9018
Tennessee,"2,022",22000,695,1683,35.51749,-86.5804
Texas,"2,022",149000,2471,6332,31.9686,-99.9018
Utah,"2,022",28000,780,1853,39.32098,-111.094
Vermont,"2,022",5300,351,898,37.43157,-78.6569
Virginia,"2,022",56600,1221,3643,44.5588,-72.5778
Washington,"2,022",104100,1784,4533,47.75107,-120.74
West Virginia,"2,022",1900,137,385,43.78444,-88.7879
Wisconsin,"2,022",15700,470,1101,38.59763,-80.4549
Wyoming,"2,022",800,86,214,43.07597,-107.29
Alabama,"2,021",4700,277,682,63.58875,-154.493
Alaska,"2,021",1300,52,94,32.31823,-86.9023
Arizona,"2,021",40700,890,2259,35.20105,-91.8318
Arkansas,"2,021",2400,164,463,34.04893,-111.094
California,"2,021",563100,14607,41237,36.77826,-119.418
Colorado,"2,021",37000,1619,3992,39.55005,-105.782
Connecticut,"2,021",13300,533,1430,41.60322,-73.0877
Delaware,"2,021",3000,134,314,38.90599,-77.0334
District of Columbia,"2,021",3700,291,826,38.91083,-75.5277
Florida,"2,021",95600,2636,6748,27.66483,-81.5158
Georgia,"2,021",34000,1585,3947,32.15744,-82.9071
Hawaii,"2,021",14200,386,839,19.89868,-155.666
Idaho,"2,021",3500,139,345,41.878,-93.0977
Illinois,"2,021",36500,1079,2764,44.0682,-114.742
Indiana,"2,021",10400,357,971,40.63313,-89.3985
Iowa,"2,021",3700,281,584,40.55122,-85.6024
Kansas,"2,021",4500,493,1017,39.0119,-98.4842
Kentucky,"2,021",4200,225,532,37.83933,-84.27
Louisiana,"2,021",3200,159,385,31.24482,-92.145
Maine,"2,021",3000,301,639,42.40721,-71.3824
Maryland,"2,021",25600,1257,3430,39.04576,-76.6413
Massachusetts,"2,021",30500,2176,4871,45.25378,-69.4455
Michigan,"2,021",17500,817,1799,44.31484,-85.6024
Minnesota,"2,021",15000,586,1385,46.72955,-94.6859
Mississippi,"2,021",1300,112,433,37.96425,-91.8318
Missouri,"2,021",10000,1047,2188,32.35467,-89.3985
Montana,"2,021",1600,75,212,46.87968,-110.363
Nebraska,"2,021",2700,182,377,35.75957,-79.0193
Nevada,"2,021",17400,451,1361,47.55149,-101.002
New Hampshire,"2,021",4000,164,357,41.49254,-99.9018
New Jersey,"2,021",47800,749,2021,43.19385,-71.5724
New Mexico,"2,021",4200,189,461,40.05832,-74.4057
New York,"2,021",51900,2983,7646,34.97273,-105.032
North Carolina,"2,021",25200,1120,2789,38.80261,-116.419
North Dakota,"2,021",400,61,139,43.29943,-74.2179
Ohio,"2,021",21200,957,2224,40.41729,-82.9071
Oklahoma,"2,021",7100,313,1089,35.00775,-97.0929
Oregon,"2,021",30300,994,2433,43.80413,-120.554
Pennsylvania,"2,021",26800,1148,2688,41.20332,-77.1945
Rhode Island,"2,021",2500,255,628,41.5801,-71.4774
South Carolina,"2,021",7400,385,870,33.83608,-81.1637
South Dakota,"2,021",700,58,160,43.96952,-99.9018
Tennessee,"2,021",12200,685,1637,35.51749,-86.5804
Texas,"2,021",80900,2320,5501,31.9686,-99.9018
Utah,"2,021",16500,909,1980,39.32098,-111.094
Vermont,"2,021",3400,329,878,37.43157,-78.6569
Virginia,"2,021",30700,1139,3302,44.5588,-72.5778
Washington,"2,021",66800,1773,4325,47.75107,-120.74
West Virginia,"2,021",1000,110,306,43.78444,-88.7879
Wisconsin,"2,021",9300,475,961,38.59763,-80.4549
Wyoming,"2,021",500,70,184,43.07597,-107.29
Alabama,"2,020",2900,224,598,63.58875,-154.493
Alaska,"2,020",900,37,68,32.31823,-86.9023
Arizona,"2,020",28800,573,1788,35.20105,-91.8318
Arkansas,"2,020",1300,112,350,34.04893,-111.094
California,"2,020",425300,7689,34924,36.77826,-119.418
Colorado,"2,020",24700,1066,3253,39.55005,-105.782
Connecticut,"2,020",9000,456,1240,41.60322,-73.0877
Delaware,"2,020",1900,70,206,38.90599,-77.0334
District of Columbia,"2,020",2400,189,694,38.91083,-75.5277
Florida,"2,020",58200,1836,5564,27.66483,-81.5158
Georgia,"2,020",23500,1008,3661,32.15744,-82.9071
Hawaii,"2,020",10700,320,759,19.89868,-155.666
Idaho,"2,020",2300,113,281,41.878,-93.0977
Illinois,"2,020",26000,805,2360,44.0682,-114.742
Indiana,"2,020",7000,282,784,40.63313,-89.3985
Iowa,"2,020",2300,188,487,40.55122,-85.6024
Kansas,"2,020",3100,246,950,39.0119,-98.4842
Kentucky,"2,020",2600,168,383,37.83933,-84.27
Louisiana,"2,020",2000,141,360,31.24482,-92.145
Maine,"2,020",1900,220,518,42.40721,-71.3824
Maryland,"2,020",18000,884,2776,39.04576,-76.6413
Massachusetts,"2,020",21000,1038,3415,45.25378,-69.4455
Michigan,"2,020",10600,567,1605,44.31484,-85.6024
Minnesota,"2,020",10400,445,1218,46.72955,-94.6859
Mississippi,"2,020",800,104,344,37.96425,-91.8318
Missouri,"2,020",6700,508,2060,32.35467,-89.3985
Montana,"2,020",900,65,188,46.87968,-110.363
Nebraska,"2,020",1800,115,287,35.75957,-79.0193
Nevada,"2,020",11000,299,1166,47.55149,-101.002
New Hampshire,"2,020",2700,131,291,41.49254,-99.9018
New Jersey,"2,020",30400,553,1652,43.19385,-71.5724
New Mexico,"2,020",2600,120,376,40.05832,-74.4057
New York,"2,020",32600,2036,6134,34.97273,-105.032
North Carolina,"2,020",16200,813,2267,38.80261,-116.419
North Dakota,"2,020",200,42,101,43.29943,-74.2179
Ohio,"2,020",14500,656,1845,40.41729,-82.9071
Oklahoma,"2,020",3400,263,693,35.00775,-97.0929
Oregon,"2,020",22800,745,2121,43.80413,-120.554
Pennsylvania,"2,020",17500,757,2054,41.20332,-77.1945
Rhode Island,"2,020",1600,148,550,41.5801,-71.4774
South Carolina,"2,020",4400,309,734,33.83608,-81.1637
South Dakota,"2,020",400,45,133,43.96952,-99.9018
Tennessee,"2,020",7800,494,1345,35.51749,-86.5804
Texas,"2,020",52200,1579,4807,31.9686,-99.9018
Utah,"2,020",11200,444,1606,39.32098,-111.094
Vermont,"2,020",2200,264,793,37.43157,-78.6569
Virginia,"2,020",20500,814,2531,44.5588,-72.5778
Washington,"2,020",50500,1235,3817,47.75107,-120.74
West Virginia,"2,020",600,93,258,43.78444,-88.7879
Wisconsin,"2,020",6300,381,828,38.59763,-80.4549
Wyoming,"2,020",300,61,172,43.07597,-107.29
Alabama,"2,019",2000,195,506,63.58875,-154.493
Alaska,"2,019",700,19,34,32.31823,-86.9023
Arizona,"2,019",19500,522,1476,35.20105,-91.8318
Arkansas,"2,019",900,98,290,34.04893,-111.094
California,"2,019",349700,6439,27199,36.77826,-119.418
Colorado,"2,019",19200,861,2516,39.55005,-105.782
Connecticut,"2,019",6900,422,1048,41.60322,-73.0877
Delaware,"2,019",1300,57,172,38.90599,-77.0334
District of Columbia,"2,019",1800,172,553,38.91083,-75.5277
Florida,"2,019",40300,1562,4562,27.66483,-81.5158
Georgia,"2,019",19000,882,2939,32.15744,-82.9071
Hawaii,"2,019",8800,296,666,19.89868,-155.666
Idaho,"2,019",1600,95,216,41.878,-93.0977
Illinois,"2,019",19300,663,1864,44.0682,-114.742
Indiana,"2,019",5100,239,614,40.63313,-89.3985
Iowa,"2,019",1600,141,348,40.55122,-85.6024
Kansas,"2,019",2300,234,904,39.0119,-98.4842
Kentucky,"2,019",1900,133,315,37.83933,-84.27
Louisiana,"2,019",1400,107,293,31.24482,-92.145
Maine,"2,019",1300,184,433,42.40721,-71.3824
Maryland,"2,019",13200,738,2110,39.04576,-76.6413
Massachusetts,"2,019",14100,811,2455,45.25378,-69.4455
Michigan,"2,019",6600,616,1429,44.31484,-85.6024
Minnesota,"2,019",7700,380,1051,46.72955,-94.6859
Mississippi,"2,019",500,81,292,37.96425,-91.8318
Missouri,"2,019",4900,452,1895,32.35467,-89.3985
Montana,"2,019",700,55,137,46.87968,-110.363
Nebraska,"2,019",1300,95,238,35.75957,-79.0193
Nevada,"2,019",7900,284,927,47.55149,-101.002
New Hampshire,"2,019",1900,121,244,41.49254,-99.9018
New Jersey,"2,019",20200,457,1297,43.19385,-71.5724
New Mexico,"2,019",1900,82,245,40.05832,-74.4057
New York,"2,019",23000,1655,4531,34.97273,-105.032
North Carolina,"2,019",11600,732,1903,38.80261,-116.419
North Dakota,"2,019",200,28,46,43.29943,-74.2179
Ohio,"2,019",10200,544,1443,40.41729,-82.9071
Oklahoma,"2,019",3400,131,309,35.00775,-97.0929
Oregon,"2,019",18800,722,1895,43.80413,-120.554
Pennsylvania,"2,019",12000,572,1475,41.20332,-77.1945
Rhode Island,"2,019",1100,113,407,41.5801,-71.4774
South Carolina,"2,019",3000,286,643,33.83608,-81.1637
South Dakota,"2,019",300,41,127,43.96952,-99.9018
Tennessee,"2,019",5700,453,1207,35.51749,-86.5804
Texas,"2,019",38400,1376,4009,31.9686,-99.9018
Utah,"2,019",8000,289,950,39.32098,-111.094
Vermont,"2,019",1700,237,664,37.43157,-78.6569
Virginia,"2,019",15000,710,2056,44.5588,-72.5778
Washington,"2,019",40400,1095,3206,47.75107,-120.74
West Virginia,"2,019",400,89,244,43.78444,-88.7879
Wisconsin,"2,019",4700,345,711,38.59763,-80.4549
Wyoming,"2,019",200,57,159,43.07597,-107.29
