region,parameter,powertrain,year,unit,value
China,EV charging points,Publicly available fast,2014,charging points,9000
China,EV charging points,Publicly available slow,2014,charging points,21000
China,EV charging points,Publicly available fast,2015,charging points,12000
China,EV charging points,Publicly available slow,2015,charging points,47000
China,EV charging points,Publicly available fast,2016,charging points,55000
China,EV charging points,Publicly available slow,2016,charging points,86000
China,EV charging points,Publicly available fast,2017,charging points,83000
China,EV charging points,Publicly available slow,2017,charging points,130000
China,EV charging points,Publicly available fast,2018,charging points,110000
China,EV charging points,Publicly available slow,2018,charging points,160000
China,EV charging points,Publicly available fast,2019,charging points,210000
China,EV charging points,Publicly available slow,2019,charging points,300000
China,EV charging points,Publicly available fast,2020,charging points,310000
China,EV charging points,Publicly available slow,2020,charging points,500000
China,EV charging points,Publicly available fast,2021,charging points,470000
China,EV charging points,Publicly available slow,2021,charging points,680000
China,EV charging points,Publicly available fast,2022,charging points,760000
China,EV charging points,Publicly available slow,2022,charging points,1000000
China,EV charging points,Publicly available fast,2023,charging points,1200000
China,EV charging points,Publicly available slow,2023,charging points,1500000
Europe,EV charging points,Publicly available slow,2010,charging points,3200
Europe,EV charging points,Publicly available slow,2011,charging points,6100
Europe,EV charging points,Publicly available fast,2011,charging points,24
Europe,EV charging points,Publicly available fast,2012,charging points,160
Europe,EV charging points,Publicly available slow,2012,charging points,16000
Europe,EV charging points,Publicly available slow,2013,charging points,25000
Europe,EV charging points,Publicly available fast,2013,charging points,780
Europe,EV charging points,Publicly available fast,2014,charging points,1400
Europe,EV charging points,Publicly available slow,2014,charging points,37000
Europe,EV charging points,Publicly available slow,2015,charging points,59000
Europe,EV charging points,Publicly available fast,2015,charging points,3800
Europe,EV charging points,Publicly available fast,2016,charging points,5700
Europe,EV charging points,Publicly available slow,2016,charging points,94000
Europe,EV charging points,Publicly available slow,2017,charging points,110000
Europe,EV charging points,Publicly available fast,2017,charging points,9300
Europe,EV charging points,Publicly available fast,2018,charging points,13000
Europe,EV charging points,Publicly available slow,2018,charging points,130000
Europe,EV charging points,Publicly available slow,2019,charging points,170000
Europe,EV charging points,Publicly available fast,2019,charging points,20000
Europe,EV charging points,Publicly available fast,2020,charging points,30000
Europe,EV charging points,Publicly available slow,2020,charging points,220000
Europe,EV charging points,Publicly available slow,2021,charging points,310000
Europe,EV charging points,Publicly available fast,2021,charging points,43000
Europe,EV charging points,Publicly available fast,2022,charging points,68000
Europe,EV charging points,Publicly available slow,2022,charging points,440000
Europe,EV charging points,Publicly available slow,2023,charging points,590000
Europe,EV charging points,Publicly available fast,2023,charging points,110000
USA,EV charging points,Publicly available slow,2010,charging points,480
USA,EV charging points,Publicly available slow,2011,charging points,3900
USA,EV charging points,Publicly available slow,2012,charging points,12000
USA,EV charging points,Publicly available slow,2013,charging points,15000
USA,EV charging points,Publicly available slow,2014,charging points,20000
USA,EV charging points,Publicly available fast,2015,charging points,3500
USA,EV charging points,Publicly available slow,2015,charging points,28000
USA,EV charging points,Publicly available fast,2016,charging points,3100
USA,EV charging points,Publicly available slow,2016,charging points,35000
USA,EV charging points,Publicly available fast,2017,charging points,3400
USA,EV charging points,Publicly available slow,2017,charging points,40000
USA,EV charging points,Publicly available fast,2018,charging points,4200
USA,EV charging points,Publicly available slow,2018,charging points,50000
USA,EV charging points,Publicly available fast,2019,charging points,13000
USA,EV charging points,Publicly available slow,2019,charging points,64000
USA,EV charging points,Publicly available fast,2020,charging points,17000
USA,EV charging points,Publicly available slow,2020,charging points,82000
USA,EV charging points,Publicly available fast,2021,charging points,22000
USA,EV charging points,Publicly available slow,2021,charging points,92000
USA,EV charging points,Publicly available fast,2022,charging points,28000
USA,EV charging points,Publicly available slow,2022,charging points,100000
USA,EV charging points,Publicly available fast,2023,charging points,43000
USA,EV charging points,Publicly available slow,2023,charging points,140000
World,EV charging points,Publicly available fast,2010,charging points,310
World,EV charging points,Publicly available slow,2010,charging points,3700
World,EV charging points,Publicly available slow,2011,charging points,10000
World,EV charging points,Publicly available fast,2011,charging points,830
World,EV charging points,Publicly available fast,2012,charging points,1500
World,EV charging points,Publicly available slow,2012,charging points,28000
World,EV charging points,Publicly available slow,2013,charging points,41000
